Found elements: ['Li', 'Ni', 'O']
differential_evolution step 1: f(x)= 2.24808
differential_evolution step 2: f(x)= 0.725123
differential_evolution step 3: f(x)= 0.394472
differential_evolution step 4: f(x)= 0.394472
differential_evolution step 5: f(x)= 0.377916
differential_evolution step 6: f(x)= 0.377916
differential_evolution step 7: f(x)= 0.33642
differential_evolution step 8: f(x)= 0.301924
differential_evolution step 9: f(x)= 0.301924
differential_evolution step 10: f(x)= 0.301924
differential_evolution step 11: f(x)= 0.301924
differential_evolution step 12: f(x)= 0.301924
differential_evolution step 13: f(x)= 0.301924
differential_evolution step 14: f(x)= 0.301924
differential_evolution step 15: f(x)= 0.301924
differential_evolution step 16: f(x)= 0.301924
differential_evolution step 17: f(x)= 0.287678
differential_evolution step 18: f(x)= 0.265547
differential_evolution step 19: f(x)= 0.265547
differential_evolution step 20: f(x)= 0.239856
differential_evolution step 21: f(x)= 0.218984
differential_evolution step 22: f(x)= 0.218984
differential_evolution step 23: f(x)= 0.218984
differential_evolution step 24: f(x)= 0.218984
differential_evolution step 25: f(x)= 0.210528
differential_evolution step 26: f(x)= 0.210528
differential_evolution step 27: f(x)= 0.210528
differential_evolution step 28: f(x)= 0.204689
differential_evolution step 29: f(x)= 0.204689
differential_evolution step 30: f(x)= 0.204689
differential_evolution step 31: f(x)= 0.204689
differential_evolution step 32: f(x)= 0.204689
differential_evolution step 33: f(x)= 0.204689
differential_evolution step 34: f(x)= 0.204689
differential_evolution step 35: f(x)= 0.204689
differential_evolution step 36: f(x)= 0.204689
differential_evolution step 37: f(x)= 0.201208
differential_evolution step 38: f(x)= 0.201208
differential_evolution step 39: f(x)= 0.186488
differential_evolution step 40: f(x)= 0.186488
differential_evolution step 41: f(x)= 0.186488
differential_evolution step 42: f(x)= 0.186488
differential_evolution step 43: f(x)= 0.186488
differential_evolution step 44: f(x)= 0.186488
differential_evolution step 45: f(x)= 0.176767
differential_evolution step 46: f(x)= 0.176767
differential_evolution step 47: f(x)= 0.173876
differential_evolution step 48: f(x)= 0.173876
differential_evolution step 49: f(x)= 0.173876
differential_evolution step 50: f(x)= 0.173876
differential_evolution step 51: f(x)= 0.172579
differential_evolution step 52: f(x)= 0.172579
differential_evolution step 53: f(x)= 0.172579
differential_evolution step 54: f(x)= 0.171584
differential_evolution step 55: f(x)= 0.171584
differential_evolution step 56: f(x)= 0.171584
differential_evolution step 57: f(x)= 0.17153
differential_evolution step 58: f(x)= 0.17153
differential_evolution step 59: f(x)= 0.17153
differential_evolution step 60: f(x)= 0.17153
differential_evolution step 61: f(x)= 0.170474
differential_evolution step 62: f(x)= 0.170474
differential_evolution step 63: f(x)= 0.170474
differential_evolution step 64: f(x)= 0.170474
differential_evolution step 65: f(x)= 0.170474
differential_evolution step 66: f(x)= 0.170474
differential_evolution step 67: f(x)= 0.167319
differential_evolution step 68: f(x)= 0.167319
differential_evolution step 69: f(x)= 0.167319
differential_evolution step 70: f(x)= 0.166485
differential_evolution step 71: f(x)= 0.166485
differential_evolution step 72: f(x)= 0.164099
differential_evolution step 73: f(x)= 0.164099
differential_evolution step 74: f(x)= 0.164046
differential_evolution step 75: f(x)= 0.164046
differential_evolution step 76: f(x)= 0.164046
differential_evolution step 77: f(x)= 0.164046
differential_evolution step 78: f(x)= 0.164046
differential_evolution step 79: f(x)= 0.164046
differential_evolution step 80: f(x)= 0.164046
differential_evolution step 81: f(x)= 0.164046
differential_evolution step 82: f(x)= 0.164046
differential_evolution step 83: f(x)= 0.164046
differential_evolution step 84: f(x)= 0.163375
differential_evolution step 85: f(x)= 0.163375
differential_evolution step 86: f(x)= 0.163375
differential_evolution step 87: f(x)= 0.162446
differential_evolution step 88: f(x)= 0.162446
differential_evolution step 89: f(x)= 0.162266
differential_evolution step 90: f(x)= 0.162266
differential_evolution step 91: f(x)= 0.162106
differential_evolution step 92: f(x)= 0.162106
differential_evolution step 93: f(x)= 0.161409
differential_evolution step 94: f(x)= 0.161409
differential_evolution step 95: f(x)= 0.161409
differential_evolution step 96: f(x)= 0.161409
differential_evolution step 97: f(x)= 0.161409
differential_evolution step 98: f(x)= 0.161409
differential_evolution step 99: f(x)= 0.161409
differential_evolution step 100: f(x)= 0.161409
differential_evolution step 101: f(x)= 0.161409
differential_evolution step 102: f(x)= 0.161409
differential_evolution step 103: f(x)= 0.161409
differential_evolution step 104: f(x)= 0.161096
differential_evolution step 105: f(x)= 0.160569
differential_evolution step 106: f(x)= 0.160569
differential_evolution step 107: f(x)= 0.160569
differential_evolution step 108: f(x)= 0.160569
differential_evolution step 109: f(x)= 0.160569
differential_evolution step 110: f(x)= 0.160192
differential_evolution step 111: f(x)= 0.160192
differential_evolution step 112: f(x)= 0.160192
differential_evolution step 113: f(x)= 0.160192
differential_evolution step 114: f(x)= 0.160192
     fun: 0.1601920614348553
 message: 'Optimization terminated successfully.'
    nfev: 25885
     nit: 114
 success: True
       x: array([3.15909895e+00, 6.14871634e-01, 1.26398979e+01, 2.13866240e+04,
       1.65413241e-01, 5.86257774e+03, 2.03697561e-01, 3.81802139e+03,
       2.12089019e-01])
{'Li_O_a': 21386.624, 'Li_O_rho': 0.1654, 'Ni_O_a': 5862.5777, 'Ni_O_rho': 0.2037, 'O_O_a': 3818.0214, 'O_O_rho': 0.2121, 'Li_O_c': 0.0, 'Ni_O_c': 0.0, 'O_O_c': 0.0}
